Tytuł kanału,Kraj,Liczba subskrybentów,Channel_id
NewsNation,US,1060000,UCCjG8NtOig0USdrT5D1FpxQ
Xavi Luque II,ES,2600,UC0Z9jXF41K8xjuk1L8Wydpg
Michal Sadowski Travel,PL,8210,UCNUk1cXHtuRzO7zy-V1SBTQ
Taco Boii,Brak danych o kraju,167000,UC9QD_dMGJ5bhlDDYV-9EFrw
NewsNation,US,1060000,UCCjG8NtOig0USdrT5D1FpxQ
Michal Sadowski Travel,PL,8210,UCNUk1cXHtuRzO7zy-V1SBTQ
Taco Boii,Brak danych o kraju,167000,UC9QD_dMGJ5bhlDDYV-9EFrw
Good Times Bad Times,PL,279000,UCXW9oUSOwt7mcTT5d_5hQcA
MehowRudy,Brak danych o kraju,3780,UC0jDSqaBZo5-owXfU6h_ikw
Wild Frames,PT,1230,UClyMm-5Zn7qxkBLxkx08--A
Jose Explores,PL,740,UCgE8v8MnOTtlK8Bv-05QktQ
Kondel Walking Tours,IT,3780,UChTbfkYOzZhuoa6ALdLGHyw
CykloGamonie,PL,1190,UCLokzMkllnHPz_AFIowZCMQ
Eurovision Song Contest,CH,5600000,UCRpjHHu8ivVWs73uxHlWwFA
Mr SuperMole,PL,154000,UC9C_MgERaMDCLP10fkRNURg
Fidessa Ng,Brak danych o kraju,257,UCX9vKvk_D9-MtYeZLX31KKA
Zabytki Nieba,PL,34900,UCEGJq4DPzCjixRoZqzcOo-Q
Residence Angels - Relocation Supplier in Poland,PL,44,UCEPcXtE48bsbJ9S_nG9tNLg
Rob Reacts,GB,37200,UCVrkUiSjOmOQ0i9JSI7mawg
Keendi,PL,254000,UCJPWLoeXUxPP0n066BHHEAQ
American Red Cross,US,46800,UC0aMPje3ZACnQPKM_qzY0vw
Defense Updates,IN,588000,UCKNCbBWiMiXBVXUmUuu_dsQ
SOFTSWISS People,Brak danych o kraju,242,UCGrH6f2-Gn53LmXthsOuAYg
live.thankfully,PL,247,UC73yaB8FYOD-_fRxvkZZTQQ
Jir Mirza II,US,4030,UCueyEGeTpTNb3QQL_ysN4tg
Marcin Easy Rider,PL,27700,UCyUkGTIuLmxxWP20Uox7ecA
WPBF 25 News,Brak danych o kraju,148000,UCeD5NwvPbEZKcu02_v8tUZQ
The Poland Experience,PL,364,UCWXkITCqLJbpJb6mxoL-MOA
Sandra P,GB,441,UC18ihesCu28Ta2bbqsEOtYQ
Business in Poland,Brak danych o kraju,517,UCaMRVgk2xImJ0apXljE5Zqw
JB's Man Cave,US,18200,UCPGDLxE-WH2WIXUL3G5AY9g
NowThis Originals,US,2230000,UCgRvm1yLFoaQKhmaTqXk9SA
European Defense | Dung Tran Military,US,48600,UCdW0Ug_lrQsUAkwZCs8aIgQ
Lukas,US,1470,UCZ23PGlgpCJUvfKraLizpaw
SOFTSWISS People,Brak danych o kraju,242,UCGrH6f2-Gn53LmXthsOuAYg
Conor Clyne - Tsar Experience,IE,87200,UCz9WfSs2nuabYM_3LAARWHg
Przebudzeni Tv,GR,1970,UCOHXiIGUa1MXyOgKpV62DWQ
Majka i Mama,GB,3370,UCB2ce3ok5x6pVrVQFLnWz_g
L1te Beamz,CA,4590,UCrLj36ySNs5UQEgko-xvOBg
Budda. TV,Brak danych o kraju,1860000,UC8LJZNHnqXKg5TMgyvxszPA
Aluron CMC Warta Zawiercie,PL,2760,UC1MyAHoEnZYlKaUY8v_5R9g
2nacheki,US,1190000,UCG7uFJVZsxQRwDssom9Pavw
Xavi Luque II,ES,2600,UC0Z9jXF41K8xjuk1L8Wydpg
Michael McIntee,US,170000,UCDIPsk87a6D3QqS0DeAUMPA
Elon Musket,KR,137000,UC4SiZgabJFDnRKarHqIDdAQ
Walk Abouts World,Brak danych o kraju,170,UCitZxkhSqIbngJKfzYa3QtQ
Eesti NATO Ühing,EE,351,UCFZb4rO1OEAGdHrt6Dp5ZJQ
Jasmine T TV,PL,19600,UCctd-Nmr1xWiLopWyR-ZY3g
Bluza,GB,132000,UCX6TGFjY4AbTSvh5wdF9vGQ
VISIT POLAND WITH SAMIRA,PL,9700,UCYYSKjsFjBB_zF7ixspIaKA
History & Politics!,GB,8880,UC5lSpnpeIWw7vi04BH5lffw
Travel Freak,UA,2430,UChh0nwLmkjDt0rQwxzVBLSA
pointravel,US,417,UCElg11e3ecg3q8K42cP17rQ
Artur Mijalski,PL,29,UCFRl44VDrGM8aJdsw5KZ5pQ
Outer Side,US,1310,UCROjUvUiR75tPKmLjwAEZXQ
Artur Mijalski,PL,29,UCFRl44VDrGM8aJdsw5KZ5pQ
NewsNation,US,1060000,UCCjG8NtOig0USdrT5D1FpxQ
Avic Caparas,PH,1480,UCPH6-a1KGAkAYBGKqzQpT0A
Military Powers,US,15400,UCZztLkQjGjcs2OfoYGwtsNA
Light&BoldTV,Brak danych o kraju,546,UCRPHZr_aa5USYiI9M4SEaKg
Wayfaring Stranger,PL,52,UCOmEXEye7ldpSi_XI0zWP8Q
PanzerAngriff,UA,45200,UCgWvf36vg_wBTH3SLs-z2Ig
Sayali Rahate,PL,11500,UCuTW-VCyv4a8B8aReF2_D-A
Majka i Mama,GB,3370,UCB2ce3ok5x6pVrVQFLnWz_g
TEACHER PAUL REACTS,GB,310000,UCT99PQ5nkgshVaoBlU5jiKw
Fyllia & Sander Travel,BE,242,UCsHY1ULbrwWCVlkmuozJxmA
Euro Life BD...,PL,36700,UCqMZ1MLMYLYO-EfJZW6B9iw
Marta & Hotaru,Brak danych o kraju,561,UCDsu4wkYuPfjdPMgcCoS_7A
In Polish Ways,Brak danych o kraju,51,UC2JCmkW0Kjmb-coSRDbEVzg
Norwegian Baron,NO,117000,UCcKc05hZKjNAPxSW2p3okOA
VISIT POLAND WITH SAMIRA,PL,9700,UCYYSKjsFjBB_zF7ixspIaKA
AiArty,Brak danych o kraju,28,UCXb_fHUobphPgBeoPBBzXhA
Pandora Path,US,737,UCZbpx4dTPQ4uAnBZ12moGIA
The Travel Boss,US,6790,UCcwcop2_Jwf7gRoQAAsfJfw
Travel with Mr singh,IN,129000,UCxc-mjQwnlZlv-KBz4nwshA
Top Trends Travel,GB,174,UCl-HmtqfvNP9-xWuMyrcQPQ
MehowRudy,Brak danych o kraju,3780,UC0jDSqaBZo5-owXfU6h_ikw
Luk Zloty,PL,459,UCMkC8auvuSIcZhRtK6Jg0Iw
Incendiary,US,1240,UCVPoBOtoMgl8MpLxh-PS2Fg
US Military History,US,2560,UCAUmQGAZZkcuN9pdh6pMZlw
Robertson Family Racing Pigeons,US,14700,UCSrThO1D0E4M1bw0-fYi7pg
Simon Says,Brak danych o kraju,408,UCK4p26tXpueE7S5TzNts2hw
AmysCrypt,US,259000,UCiEK-SwMjiYsiWzXvOKqKdg
Paweł Skiba,Brak danych o kraju,5910,UCX2rHYwEbWobzNc5i-1-8RA
AInspirer,Brak danych o kraju,990,UCCY2hOnCiUp9V8i2zsAq5ig
Polish Berry,Brak danych o kraju,23,UC87ikdmuYt23sCWHsK-GqLg
2nacheki,US,1190000,UCG7uFJVZsxQRwDssom9Pavw
Vikariel,Brak danych o kraju,534,UC3BPxCRWS0JJrE3343onSMQ
Art and Craft with Dylan,IN,300,UCiNDisG5rZUYUVdH6-jJ--g
European Defense | Dung Tran Military,US,48600,UCdW0Ug_lrQsUAkwZCs8aIgQ
HISTORIE,PL,125000,UCsuLUUEHlOASI5tyYYgInWA
Globe in the Hat,PL,57300,UCZkVPUf-4-HjaTdrswApBFQ
Euro Life BD...,PL,36700,UCqMZ1MLMYLYO-EfJZW6B9iw
NewsNation,US,1060000,UCCjG8NtOig0USdrT5D1FpxQ
CoolKa,Brak danych o kraju,465,UClt8qBWWWbc4-4T_6VLBxxA
We Are Going Somewhere,US,21400,UCVln5I2ZTqb6HXDVXF_V6pA
NC Immigration,PL,856,UClg2HXSmqjszBYEYjq9GQ4g
Sphera,FR,5300,UCKjglpwAL5ZPPITJpu14zrA
NewsNation,US,1060000,UCCjG8NtOig0USdrT5D1FpxQ
Sii Poland,PL,1110,UCQ3UQ7RJPEYnAWC_rPE5Dxg
Sudecka Ostoja,PL,42500,UCFTAuCTPO6K_x-GV8k9Jgvw
Euro Life BD...,PL,36700,UCqMZ1MLMYLYO-EfJZW6B9iw
European Defense | Dung Tran Military,US,48600,UCdW0Ug_lrQsUAkwZCs8aIgQ
PolishTortoise,PL,216000,UCx22mlTERBqxg30j186hOsA
PompasticEdits,PL,2490,UCkOk_X9MhyFbV8EmA9TBmCA
Sudecka Ostoja,PL,42500,UCFTAuCTPO6K_x-GV8k9Jgvw
Armyguy Travels,US,2890,UCN6j3NXJG33VeErYeBWXeRA
Foreigner In Poland,PL,46,UChyTQoKQ3qv9nMeXChg-RJA
Discovery Channel Polska,PL,429000,UC7U89d81jFokGK7kFq7jwtA
Pedro Mota,NL,85600,UCQc2abzqbqrp-TZG3K79Wng
J_Gamer Mapping,DE,3140,UCcZVu1P1NcuAyeTq_7tN6Hw
Sii Poland,PL,1110,UCQ3UQ7RJPEYnAWC_rPE5Dxg
KrutyakTravel ,PL,327,UC4ozoysELZ15tBOjeCIdGIA
애림Aerim,KR,583,UCf7decCsF5LEuax23arzdLQ
AB000 Maps,CA,36300,UCgw9hQpHkAiik3-UCHSPxDw
TEACHER PAUL REACTS,GB,310000,UCT99PQ5nkgshVaoBlU5jiKw
Marcin Easy Rider,PL,27700,UCyUkGTIuLmxxWP20Uox7ecA
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
Aleksandra Pekala,Brak danych o kraju,887,UC5486lEOQv-EzHwFtNaBeXQ
Residence Angels - Relocation Supplier in Poland,PL,44,UCEPcXtE48bsbJ9S_nG9tNLg
Almeida Theatre,GB,11900,UCWXfkNfLqo-gVaJJ_ujqWTQ
애림Aerim,KR,583,UCf7decCsF5LEuax23arzdLQ
EURO TRUCKER,UA,3500,UCPheJiufcmkt90LT_TGdd0g
Dil Se Desi ( Rahul Solanki vlogs) ,PL,2800,UCfg9QMsuWb7BfG2roDYJUMQ
Desi Duo Explorers,PL,522,UCiedkfU9JnZLAwotAgiOBTw
St. Constantine,Brak danych o kraju,27300,UCRXg7jqg6lGxbbylZsgowqg
POOKIE & PATO,GB,73,UCcc62PKiGhc0OYLgZUaJ9dg
Mick Quaian,US,3090,UCg-KPg4xHULSz7eI1r-8CfQ
VISIT POLAND WITH SAMIRA,PL,9700,UCYYSKjsFjBB_zF7ixspIaKA
gen.,PL,37,UCPFZXJorG6SpCJevrvW9-mw
NATIONAL ANTHEM TV CHANNEL,GB,4160,UCsFm2hSbsGkYI_x5kUTlG5g
Military Superiority,UA,263000,UC2Pnvc2jxv8Ispcy7rbyF9Q
Eurovision Turkey,TR,2820,UCjpd20VB6J9Ng5fm3EdRHqA
Travel With Aayush Mehta,IN,151000,UCVbzMvKzkdjKeXFwdtnkLfA
VISIT POLAND WITH SAMIRA,PL,9700,UCYYSKjsFjBB_zF7ixspIaKA
Hubert Zabiera Na Warsztat,PL,1530,UC4D-QHOP0oKNHbza-ry2n1w
Chrono-Political,US,858,UCdW-RViPM2CRdPDEhS44B9A
P2P Empire,DE,10500,UCoelblC2whsBZs4IYDJ4lfg
Marta & Hotaru,Brak danych o kraju,561,UCDsu4wkYuPfjdPMgcCoS_7A
Residence Angels - Relocation Supplier in Poland,PL,44,UCEPcXtE48bsbJ9S_nG9tNLg
PolonicaTV,PL,548,UCrczPT7DKWPlINJiyakVEkg
SOFTSWISS People,Brak danych o kraju,242,UCGrH6f2-Gn53LmXthsOuAYg
Fact Attack,GB,18400,UC1a7fXjl9DTAlwqw5IjWGAA
José Miguel TORRES CÁMARA,Brak danych o kraju,21,UCCMkULdI1wUI8RwsK6fE_9Q
T&D Stories,Brak danych o kraju,6,UCsPO51zgCtYJ6WDchbV-6Bw
OFF TRACK PLACES - Military Aircraft,GB,37700,UCG8DSyu3A730WvsKWZeTofA
Kiwi.com,Brak danych o kraju,3150,UCs8tEYMhKRMnTiRgfAu1Ppg
Michele Ponte,IT,91900,UCQbOiQeIttbMhL2_PkA09_Q
Nomadic Dmitry,US,6800,UCFupYo1rCjNfuzZK_SfUkFw
4K Relaxing City Walks,GB,1770,UCfU2X_rOIXA-t0A8KgwmHOQ
Rounded Kids,GB,1010,UCcC5AasdcqtvR2aNCBKUQsA
THE CURIOSITY CORNER,US,589,UCCcycw_uukrBthI89-pyA9Q
Kobieta 70plus,PL,172,UCYGbwQ6eBcmsXJ3_O6yolug
GMCPoland,Brak danych o kraju,51,UCATbiQGpq5dVehrPPUwXqtw
