Tytuł kanału,Kraj,Liczba subskrybentów,Channel_id
Polish Eagle,PL,69600,UCMDgEbDorYbcouC0xog_wjw
Moving Abroad,CH,21000,UCDLV4sZwTOzKJWXkl9UOvMw
Eastory,EE,426000,UCElybFZ60Hk1NSjgCf7I2sg
KBS WORLD TV,KR,19400000,UC5BMQOsAB8hKUyHu9KI6yig
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
World War Two,DE,853000,UCP1AejCL4DA7jYkZAELRhHQ
DW Travel,DE,215000,UCAjA4SbeRNqig8NdNszDBsA
Habitual Linecrosser,US,406000,UC6ysC3YUZbjScBKZlNLrmtQ
HistoryMarche,Brak danych o kraju,947000,UC8MX9ECowgDMTOnFTE8EUJw
Eurovision Song Contest,CH,5600000,UCRpjHHu8ivVWs73uxHlWwFA
Bez Sensu - Tomasz Bednarski,PL,309000,UCBzwL9_xdp7QUARIDSw8cKA
Dominik Andrzejczuk,US,5220,UCDMPa9BV6YM4APGWULAdxPA
Unseen,US,611000,UCVtHlqfvXn-6m6A2IWUB8MQ
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
TVP World,PL,435000,UCBjUPsHj7bXt24SUWNoZ0zA
Rick Steves' Europe,US,1740000,UCchgIh8Tc4sTmBfnMQ5pDdg
Passenger Paramvir,IN,1220000,UCK2_PiPOB0VEZfbbaHj-z5w
Junior Eurovision Song Contest,CH,814000,UC-lkYjunAyfultKGuRJz6HQ
Wolters World,US,1010000,UCFr3sz2t3bDp6Cux08B93KQ
Insider News,US,713000,UCHjm6wybRbldhqveS7c2WTA
DW Documentary,DE,5180000,UCW39zufHfsuGgpLviKh297Q
Płynnie po polsku - Learn Polish with Anna,Brak danych o kraju,5240,UCM1vdTt_oFZw5rD0wCLC4dA
Wellcome Home,PL,3120,UCXxn_FN2qqd1o9EB-OAsglw
WGN News,US,498000,UCDrLGkZTcNCshOLiKi5NtEw
Bez Sensu - Tomasz Bednarski,PL,309000,UCBzwL9_xdp7QUARIDSw8cKA
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Disaster Breakdown,Brak danych o kraju,176000,UCAHoOAB6wy04LvRW2vLffBQ
Vigo’s Dad,PL,34200,UCAlZsyC0HuGx7AZI54edKzg
Fox News,US,10900000,UCXIJgqnII2ZOINSWNOGFThA
Migrate to Europe,PL,22900,UCyV_KZsI0-oe82T2m-ltrVQ
The People Profiles,GB,1000000,UCD6TPU-PvTMvqgzC_AM7_uA
DW Documentary,DE,5180000,UCW39zufHfsuGgpLviKh297Q
DW Travel,DE,215000,UCAjA4SbeRNqig8NdNszDBsA
VisualPolitik EN,GB,1340000,UCT3v6vL2H5HK4loLMc8pmCw
Kult America,PL,126000,UCiNvk5FE6TESvUQVa4ejfug
Rick Steves' Europe,US,1740000,UCchgIh8Tc4sTmBfnMQ5pDdg
Vox,US,11600000,UCLXo7UDZvByw2ixzpQCufnA
Junior Eurovision Song Contest,CH,814000,UC-lkYjunAyfultKGuRJz6HQ
Tom Scott,Brak danych o kraju,6200000,UCBa659QWEk1AI4Tg--mrJ2A
vagabrothers,US,1150000,UCa1WbVCkTqd5ecG6G2adIow
United Beyond Borders,PL,346,UCIvE0xTmHWmYP22l-YogA8Q
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
Junior Eurovision Song Contest,CH,814000,UC-lkYjunAyfultKGuRJz6HQ
Awhobiwom Abu,PL,23800,UCslv4wdjP-0izPO93W6FcQg
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Eurovision Song Contest,CH,5600000,UCRpjHHu8ivVWs73uxHlWwFA
DW Travel,DE,215000,UCAjA4SbeRNqig8NdNszDBsA
TVP World,PL,435000,UCBjUPsHj7bXt24SUWNoZ0zA
JPOLLND - THE ENTERTAINER,IN,146000,UCKWeaOgwo2g2uKLTFmcizQA
The TRY Channel,IE,1290000,UCabq3No3wXbs6Ut-Pux6SzA
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
fonsi abroad,ES,17200,UCOVPHypKtkqQQbNO3R7xKsA
Suibhne,AU,620000,UCQD-0MjUbDBwm2UTVYr0Dag
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Wellcome Home,PL,3120,UCXxn_FN2qqd1o9EB-OAsglw
Family Travel,US,4820,UC8mYMwoT_qNfxKAc7wXtR0Q
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Wellcome Home,PL,3120,UCXxn_FN2qqd1o9EB-OAsglw
SciShow,US,7780000,UCZYTClx2T1of7BRZ86-8fow
Kyle and Madie,US,13400,UCGXNJZwl3W9qaT27yUZjPzA
The Infographics Show,US,13600000,UCfdNM3NAhaBOXCafH7krzrA
TVP World,PL,435000,UCBjUPsHj7bXt24SUWNoZ0zA
Junior Eurovision Song Contest,CH,814000,UC-lkYjunAyfultKGuRJz6HQ
Wellcome Home,PL,3120,UCXxn_FN2qqd1o9EB-OAsglw
Beauty Poland,Brak danych o kraju,66,UCsNW4IcYffvWZMSu-4igXaA
Vigo’s Dad,PL,34200,UCAlZsyC0HuGx7AZI54edKzg
Płynnie po polsku - Learn Polish with Anna,Brak danych o kraju,5240,UCM1vdTt_oFZw5rD0wCLC4dA
Kajima Poland,PL,55,UCbT1zTbGKho912AjqPR1p4Q
WM Foxtrott - Dronem w ciekawe miejsca,PL,616,UC7poSuWjr_depb3abp2B-eA
Island Hopper TV,US,281000,UCarSZcFQ6-0eqZrAG4pKoMA
Suibhne,AU,620000,UCQD-0MjUbDBwm2UTVYr0Dag
ABC 7 Chicago,US,690000,UC_vFLohxs5PkAxlk7Y6jEtw
TVP World,PL,435000,UCBjUPsHj7bXt24SUWNoZ0zA
Eva zu Beck,Brak danych o kraju,1750000,UCDTINI9skkeZNY2ZXnBqIkQ
Made in Poland,Brak danych o kraju,1200000,UC8KQ6_RNAvc7a3B5hZ980iQ
The Sign Polyglot,Brak danych o kraju,5290,UCO9zhhszyR4Av4WxwdBJs-Q
HistoryMarche,Brak danych o kraju,947000,UC8MX9ECowgDMTOnFTE8EUJw
Perun,AU,481000,UCC3ehuUksTyQ7bbjGntmx3Q
tatakodzi,PL,709,UCHq3ScBNdO-9MVXLJnfabcQ
Duke of Canada,CA,126000,UCj-Ax_sos6qcdq-ZP3xW_ZA
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
Kyle and Madie,US,13400,UCGXNJZwl3W9qaT27yUZjPzA
Awhobiwom Abu,PL,23800,UCslv4wdjP-0izPO93W6FcQg
Sehenswürdigkeiten in Europa,DE,2420,UCj6nHW9q5mtcYIuBZyK2Ihw
Tom Scott,Brak danych o kraju,6200000,UCBa659QWEk1AI4Tg--mrJ2A
PBS NewsHour,US,3850000,UC6ZFN9Tx6xh-skXCuRHCDpQ
